jsonName,dartClass,dartProperty,value,aliasOf
spacing/0,AppSpacing,s0,0,
spacing/1,AppSpacing,s1,1,
spacing/2,AppSpacing,s2,2,
spacing/3,AppSpacing,s3,3,
spacing/4,AppSpacing,s4,4,
spacing/6,AppSpacing,s6,6,
spacing/7,AppSpacing,s7,7,
spacing/8,AppSpacing,s8,8,
spacing/9,AppSpacing,s9,9,
spacing/10,AppSpacing,s10,10,
spacing/12,AppSpacing,s12,12,
spacing/14,AppSpacing,s14,14,
spacing/16,AppSpacing,s16,16,
spacing/20,AppSpacing,s20,20,
spacing/24,AppSpacing,s24,24,
spacing/28,AppSpacing,s28,28,
spacing/32,AppSpacing,s32,32,
spacing/40,AppSpacing,s40,40,
spacing/44,AppSpacing,s44,44,
spacing/48,AppSpacing,s48,48,
spacing/stack/xs,AppSpacingSemantic,stackXs,2,spacing/2
spacing/stack/sm,AppSpacingSemantic,stackSm,4,spacing/4
spacing/stack/md,AppSpacingSemantic,stackMd,8,spacing/8
spacing/stack/lg,AppSpacingSemantic,stackLg,16,spacing/16
spacing/stack/xl,AppSpacingSemantic,stackXl,24,spacing/24
spacing/inline/xs,AppSpacingSemantic,inlineXs,2,spacing/2
spacing/inline/sm,AppSpacingSemantic,inlineSm,4,spacing/4
spacing/inline/md,AppSpacingSemantic,inlineMd,8,spacing/8
spacing/inline/lg,AppSpacingSemantic,inlineLg,12,spacing/12
spacing/inset/xs,AppSpacingSemantic,insetXs,4,spacing/4
spacing/inset/sm,AppSpacingSemantic,insetSm,8,spacing/8
spacing/inset/md,AppSpacingSemantic,insetMd,12,spacing/12
spacing/inset/lg,AppSpacingSemantic,insetLg,16,spacing/16
spacing/inset/xl,AppSpacingSemantic,insetXl,24,spacing/24
spacing/inset-squish/xs/vertical,AppSpacingSemantic,insetSquishXsVertical,2,spacing/2
spacing/inset-squish/xs/horizontal,AppSpacingSemantic,insetSquishXsHorizontal,6,spacing/6
spacing/inset-squish/sm/vertical,AppSpacingSemantic,insetSquishSmVertical,7,spacing/7
spacing/inset-squish/sm/horizontal,AppSpacingSemantic,insetSquishSmHorizontal,14,spacing/14
spacing/inset-squish/md/vertical,AppSpacingSemantic,insetSquishMdVertical,9,spacing/9
spacing/inset-squish/md/horizontal,AppSpacingSemantic,insetSquishMdHorizontal,20,spacing/20
spacing/inset-squish/lg/vertical,AppSpacingSemantic,insetSquishLgVertical,12,spacing/12
spacing/inset-squish/lg/horizontal,AppSpacingSemantic,insetSquishLgHorizontal,28,spacing/28
spacing/layout/sm,AppSpacingSemantic,layoutSm,24,spacing/24
spacing/layout/md,AppSpacingSemantic,layoutMd,32,spacing/32
spacing/layout/lg,AppSpacingSemantic,layoutLg,40,spacing/40
spacing/layout/xl,AppSpacingSemantic,layoutXl,48,spacing/48
