file,line,dir,kind,currentValue,suggestedToken,status,reason
lib/components/avatars/app_avatar.dart,292,avatars,EdgeInsets.only,,,BLOCKED,EdgeInsets.only missing literal
lib/components/avatars/app_avatar.dart,297,avatars,EdgeInsets.only,overlap,,BLOCKED,non-numeric EdgeInsets.only
lib/components/avatars/app_avatar.dart,155,avatars,SizedBox,diameter,,BLOCKED,non-numeric SizedBox dimension
lib/components/avatars/app_avatar.dart,155,avatars,SizedBox,diameter,,BLOCKED,non-numeric SizedBox dimension
lib/components/avatars/avatar_use_cases.dart,117,avatars,EdgeInsets.all,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/avatars/avatar_use_cases.dart,119,avatars,PropLiteral:spacing,16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/avatars/avatar_use_cases.dart,120,avatars,PropLiteral:runSpacing,16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/app_floating_action_button.dart,37,buttons,EdgeInsets.all,space16,AppSpacingSemantic.insetLg,READY,EdgeInsets.all(tokenRef) → inset
lib/components/buttons/app_floating_action_button.dart,37,buttons,AppSpacingRef,space16,AppSpacing.s16,READY,기존 tokenRef → palette s16
lib/components/buttons/app_icon_button.dart,225,buttons,EdgeInsets.all,_padding,,BLOCKED,non-numeric EdgeInsets.all
lib/components/buttons/app_icon_button.dart,221,buttons,SizedBox,box,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_icon_button.dart,221,buttons,SizedBox,box,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_icon_button.dart,270,buttons,SizedBox,box,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_icon_button.dart,270,buttons,SizedBox,box,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_outlined_button.dart,80,buttons,EdgeInsets.symmetric,base.left,,BLOCKED,non-numeric EdgeInsets.symmetric(horizontal)
lib/components/buttons/app_outlined_button.dart,91,buttons,SizedBox,width,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_outlined_button.dart,91,buttons,SizedBox,_height,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_outlined_button.dart,113,buttons,SizedBox,_gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_outlined_button.dart,117,buttons,SizedBox,_gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_section_bottom_button.dart,66,buttons,EdgeInsets.symmetric,"H=28,V=11",,NEEDS_REVIEW,symmetric V11/H28 off-scale
lib/components/buttons/app_section_bottom_button.dart,100,buttons,EdgeInsets.symmetric,space24,AppSpacing.s24,READY,EdgeInsets.symmetric(horizontal=tokenRef) → palette s24
lib/components/buttons/app_section_bottom_button.dart,100,buttons,EdgeInsets.symmetric,space4,AppSpacing.s4,READY,EdgeInsets.symmetric(vertical=tokenRef) → palette s4
lib/components/buttons/app_section_bottom_button.dart,100,buttons,EdgeInsets.symmetric,"H=24,V=4",AppSpacing.s4 + AppSpacing.s24,NEEDS_REVIEW,비표준 squish 페어 V4/H24 (Outlined 1px 보정 의심 가능)
lib/components/buttons/app_section_bottom_button.dart,72,buttons,SizedBox,6,AppSpacing.s6,READY,SizedBox(width=)→inline palette direct (no semantic match for 6px)
lib/components/buttons/app_section_bottom_button.dart,80,buttons,SizedBox,6,AppSpacing.s6,READY,SizedBox(width=)→inline palette direct (no semantic match for 6px)
