pageId,pageSlug,nodeId,nodeName,property,currentValue,suggestedToken,group,status,reason
2452:6039,component-avatar,2452:7913,Avatar,paddingTop,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7913,Avatar,paddingRight,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7913,Avatar,paddingBottom,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7913,Avatar,paddingLeft,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7923,Component,paddingTop,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7923,Component,paddingRight,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7923,Component,paddingBottom,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7923,Component,paddingLeft,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7929,Case,paddingTop,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7929,Case,paddingRight,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7929,Case,paddingBottom,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7929,Case,paddingLeft,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7933,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7933,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7933,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7933,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7935,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7935,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7935,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7935,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7943,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7943,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7943,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7943,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7945,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7945,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7945,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7945,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7947,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7947,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7947,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7947,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7949,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7949,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7949,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7949,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7951,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7951,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7951,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7951,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7953,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7953,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7953,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
